test_id,temperature_C,fuel_vol_pct,n2_added_vol_pct,o2_vol_pct,ignited,regime
A046,25.0,18.278,17.329,13.490,0,rich
A047,25.0,2.743,47.775,10.366,0,inerted
A048,25.0,8.459,0.145,19.147,1,flammable
A049,25.0,9.535,44.804,9.566,0,inerted
A050,25.0,9.054,46.758,9.257,0,inerted
A051,25.0,19.746,26.628,11.235,0,rich
A052,25.0,14.200,8.961,16.098,0,rich
A053,25.0,16.065,47.619,7.608,0,inerted
A054,25.0,8.852,8.510,17.313,1,flammable
A055,25.0,6.835,44.936,10.104,0,inerted
A056,25.0,19.249,41.765,8.168,0,inerted
A057,25.0,9.787,8.338,17.153,1,flammable
A058,25.0,9.308,38.365,10.962,0,rich
A059,25.0,9.837,38.670,10.788,0,rich
A060,25.0,9.633,43.987,9.717,0,inerted
A061,25.0,10.393,27.243,13.065,0,rich
A062,25.0,0.285,21.468,16.393,0,lean
A063,25.0,19.201,12.877,14.230,0,rich
A064,25.0,9.844,21.099,14.467,1,flammable
A065,25.0,17.249,35.711,9.855,0,rich
A066,25.0,9.107,29.902,12.778,0,rich
A067,25.0,16.594,18.405,13.618,0,rich
A068,25.0,14.808,19.075,13.852,0,rich
A069,25.0,11.896,9.478,16.472,1,flammable
A070,25.0,1.676,49.489,10.231,0,inerted
A071,25.0,19.022,43.978,7.752,0,inerted
A072,25.0,8.607,11.471,16.744,1,flammable
A073,25.0,4.964,23.240,15.041,0,lean
A074,25.0,1.484,9.346,18.681,0,lean
A075,25.0,7.376,49.908,8.949,0,inerted
A076,25.0,3.238,35.435,12.848,0,lean
A077,25.0,2.753,32.246,13.618,0,lean
A078,25.0,3.288,28.639,14.261,0,lean
A079,25.0,15.718,30.205,11.329,0,rich
A080,25.0,9.333,42.297,10.134,0,inerted
A081,25.0,19.908,22.594,12.046,0,rich
A082,25.0,10.426,38.648,10.669,0,rich
A083,25.0,18.751,42.898,8.035,0,inerted
A084,25.0,3.618,49.396,9.844,0,inerted
A085,25.0,5.874,0.657,19.582,1,flammable
A086,25.0,16.427,1.733,17.145,0,rich
A087,25.0,18.026,35.509,9.734,0,rich
A088,25.0,5.175,18.599,15.969,1,flammable
A089,25.0,11.790,14.826,15.374,1,flammable
A090,25.0,10.826,6.842,17.249,1,flammable
A091,25.0,17.236,12.836,14.650,0,rich
A092,25.0,15.250,25.239,12.468,0,rich
A093,25.0,12.741,45.677,8.712,0,inerted
A094,25.0,5.380,13.779,16.936,1,flammable
A095,25.0,11.193,45.519,9.069,0,inerted
A096,25.0,9.291,38.797,10.876,0,rich
A097,25.0,14.157,47.769,7.977,0,inerted
A098,25.0,12.297,30.708,11.941,0,rich
A099,25.0,16.142,0.346,17.496,0,rich
A100,25.0,18.541,6.634,15.676,0,rich
A101,25.0,11.285,13.621,15.732,1,flammable
A102,25.0,10.412,38.526,10.698,0,rich
A103,25.0,2.792,41.543,11.662,0,lean
A104,25.0,10.495,2.362,18.256,1,flammable
A105,25.0,9.932,4.403,17.947,1,flammable
A106,25.0,10.833,30.028,12.390,0,rich
A107,25.0,0.428,19.047,16.870,0,lean
A108,25.0,4.854,14.994,16.792,0,lean
A109,25.0,12.739,35.281,10.890,0,rich
A110,25.0,6.817,31.902,12.838,1,flammable
A111,25.0,4.178,47.383,10.148,0,inerted
A112,25.0,0.900,26.596,15.190,0,lean
A113,25.0,3.772,36.396,12.535,0,lean
A114,25.0,5.934,8.722,17.880,1,flammable
A115,25.0,3.904,27.952,14.276,0,lean
A116,25.0,0.066,33.357,13.948,0,lean
A117,25.0,14.899,3.502,17.095,1,flammable
A118,25.0,16.161,2.947,16.947,0,rich
A119,25.0,11.946,24.385,13.339,0,rich
A120,25.0,12.278,6.959,16.920,1,flammable
A121,25.0,14.094,13.459,15.178,0,rich
A122,25.0,15.737,28.819,11.616,0,rich
A123,25.0,1.887,26.397,15.024,0,lean
A124,25.0,16.436,0.243,17.456,0,rich
A125,25.0,18.632,43.318,7.972,0,inerted
A126,25.0,15.089,33.511,10.768,0,rich
A127,25.0,14.533,35.491,10.470,0,rich
A128,25.0,8.576,47.479,9.206,0,inerted
A129,25.0,18.969,42.435,8.086,0,inerted
A130,25.0,10.004,44.154,9.604,0,inerted
A131,25.0,11.656,17.867,14.765,0,rich
A132,25.0,3.952,1.969,19.710,0,lean
A133,25.0,13.670,9.164,16.166,0,rich
A134,25.0,16.257,21.261,13.090,0,rich
A135,25.0,19.816,11.865,14.313,0,rich
A136,25.0,15.842,10.746,15.380,0,rich
A137,25.0,15.819,47.566,7.671,0,inerted
A138,25.0,18.025,23.226,12.308,0,rich
A139,25.0,9.383,48.235,8.879,0,inerted
A140,25.0,16.275,31.708,10.898,0,rich
A141,25.0,2.416,32.054,13.729,0,lean
A142,25.0,17.402,32.879,10.416,0,rich
A143,25.0,11.501,9.678,16.513,1,flammable
A144,25.0,5.807,48.350,9.604,0,inerted
A145,25.0,2.548,18.718,16.495,0,lean
A146,25.0,14.863,13.412,15.026,0,rich
A147,25.0,6.892,18.556,15.619,1,flammable
A148,25.0,10.883,10.142,16.545,1,flammable
A149,25.0,1.536,26.086,15.163,0,lean
A150,25.0,16.890,11.108,15.084,0,rich
A151,25.0,19.495,32.678,10.020,0,rich
A152,25.0,9.909,43.580,9.744,0,inerted
A153,25.0,0.937,6.645,19.362,0,lean
A154,25.0,7.907,34.027,12.165,1,flammable
A155,25.0,15.896,46.548,7.868,0,inerted
A156,25.0,18.202,33.247,10.171,0,rich
A157,25.0,14.121,30.865,11.525,0,rich
A158,25.0,18.538,5.309,15.954,0,rich
A159,25.0,11.248,10.121,16.473,1,flammable
A160,25.0,7.728,5.303,18.220,1,flammable
A161,25.0,4.513,5.730,18.804,0,lean
A162,25.0,19.284,9.260,14.970,0,rich
A163,25.0,12.932,24.699,13.066,0,rich
A164,25.0,2.373,1.174,20.207,0,lean
A165,25.0,10.363,39.619,10.479,0,rich
A166,25.0,4.071,37.967,12.143,0,lean
A167,25.0,14.696,46.688,8.090,0,inerted
A168,25.0,6.454,28.511,13.625,1,flammable
A169,25.0,3.805,40.739,11.618,0,lean
A170,25.0,2.191,14.881,17.373,0,lean
A171,25.0,5.005,11.224,17.550,0,lean
A172,25.0,9.983,6.504,17.496,1,flammable
A173,25.0,0.912,0.557,20.642,0,lean
A174,25.0,2.700,40.142,11.975,0,lean
A175,25.0,0.133,35.719,13.439,0,lean
A176,25.0,11.078,26.154,13.150,0,rich
A177,25.0,10.535,9.795,16.691,1,flammable
A178,25.0,13.230,22.251,13.517,0,rich
A179,25.0,18.409,43.951,7.886,0,inerted
A180,25.0,19.524,39.182,8.651,0,rich
A181,25.0,0.782,33.795,13.706,0,lean
A182,25.0,4.574,2.705,19.425,0,lean
A183,25.0,0.238,23.011,16.079,0,lean
A184,25.0,0.105,20.712,16.589,0,lean
A185,25.0,8.325,7.102,17.718,1,flammable
A186,25.0,6.281,12.744,16.964,1,flammable
A187,25.0,5.363,2.359,19.332,1,flammable
A188,25.0,12.348,13.076,15.624,1,flammable
A189,25.0,11.107,3.123,17.969,1,flammable
A190,25.0,9.227,19.668,14.896,1,flammable
A191,25.0,19.565,0.615,16.722,0,rich
A192,25.0,8.079,25.870,13.838,1,flammable
A193,25.0,14.364,2.626,17.391,1,flammable
A194,25.0,14.795,1.799,17.474,1,flammable
A195,25.0,18.089,11.231,14.807,0,rich
A196,25.0,5.623,36.396,12.147,1,flammable
A197,25.0,1.936,22.648,15.800,0,lean
A198,25.0,5.816,36.331,12.120,1,flammable
A199,25.0,19.853,18.828,12.846,0,rich
A200,25.0,2.907,49.467,9.978,0,inerted
A201,25.0,15.035,16.167,14.413,0,rich
A202,25.0,18.091,42.988,8.154,0,inerted
A203,25.0,13.558,38.622,10.018,0,rich
A204,25.0,18.473,42.393,8.199,0,inerted
A205,25.0,14.238,43.548,8.844,0,inerted
A206,25.0,8.369,30.113,12.888,1,flammable
A207,25.0,0.085,7.791,19.300,0,lean
A208,25.0,12.184,40.656,9.880,0,rich
A209,25.0,8.842,34.299,11.912,0,rich
A210,25.0,1.279,0.326,20.614,0,lean
A211,25.0,6.187,16.138,16.273,1,flammable
A212,25.0,8.181,34.732,11.960,0,rich
A213,25.0,14.009,13.124,15.266,0,rich
A214,25.0,14.137,32.950,11.085,0,rich
A215,25.0,8.966,33.997,11.949,0,rich
A216,25.0,13.646,11.560,15.669,0,rich
A217,25.0,18.373,44.840,7.707,0,inerted
A218,25.0,8.962,34.158,11.916,0,rich
A219,25.0,10.334,43.441,9.684,0,inerted
A220,25.0,11.105,35.593,11.167,0,rich
A221,25.0,2.512,3.432,19.705,0,lean
A222,25.0,16.806,20.871,13.057,0,rich
A223,25.0,11.046,15.938,15.297,1,flammable
A224,25.0,9.533,37.442,11.109,0,rich
A225,25.0,13.371,35.425,10.727,0,rich
A226,25.0,12.817,21.450,13.771,0,rich
A227,25.0,12.332,9.673,16.340,1,flammable
A228,25.0,12.872,18.392,14.400,0,rich
A229,25.0,8.860,3.337,18.395,1,flammable
A230,25.0,5.185,48.340,9.737,0,inerted
A231,25.0,18.843,9.550,15.002,0,rich
A232,25.0,7.020,45.478,9.952,0,inerted
A233,25.0,5.089,30.678,13.457,0,lean
A234,25.0,6.791,19.231,15.499,1,flammable
A235,25.0,0.736,42.052,11.986,0,lean
A236,25.0,16.649,23.179,12.606,0,rich
A237,25.0,19.990,44.124,7.518,0,inerted
A238,25.0,17.733,33.803,10.153,0,rich
A239,25.0,4.967,19.919,15.736,1,flammable
A240,25.0,14.985,20.164,13.586,0,rich
A241,25.0,14.167,14.641,14.915,0,rich
A242,25.0,5.708,29.062,13.666,1,flammable
A243,25.0,2.214,15.149,17.313,0,lean
A244,25.0,19.523,25.020,11.618,0,rich
A245,25.0,12.504,23.099,13.491,0,rich
A246,25.0,16.451,16.650,14.015,0,rich
A247,25.0,12.807,5.212,17.175,1,flammable
A248,25.0,13.042,17.264,14.601,0,rich
A249,25.0,1.829,14.677,17.492,0,lean
A250,25.0,3.835,23.010,15.326,0,lean
A251,25.0,9.067,15.125,15.882,1,flammable
A252,25.0,15.611,3.393,16.969,1,flammable
A253,25.0,7.350,12.040,16.888,1,flammable
A254,25.0,18.247,24.302,12.036,0,rich
A255,25.0,15.537,29.735,11.466,0,rich
A256,25.0,3.714,28.948,14.107,0,lean
A257,25.0,7.817,22.478,14.603,1,flammable
A258,25.0,12.074,29.101,12.324,0,rich
A259,25.0,7.710,14.435,16.311,1,flammable
A260,25.0,10.931,0.820,18.488,1,flammable
A261,25.0,4.547,44.566,10.661,0,inerted
A262,25.0,5.745,26.464,14.202,1,flammable
A263,25.0,12.767,39.393,10.022,0,rich
A264,25.0,18.596,46.634,7.284,0,inerted
A265,25.0,16.671,2.423,16.950,0,rich
A266,25.0,8.104,13.462,16.432,1,flammable
A267,25.0,6.795,46.445,9.796,0,inerted
A268,25.0,5.202,47.241,9.963,0,inerted
A269,25.0,4.039,29.054,14.017,0,lean
A270,25.0,13.742,37.441,10.227,0,rich
A271,25.0,1.984,34.090,13.393,0,lean
A272,25.0,0.635,14.588,17.761,0,lean
A273,25.0,4.498,39.601,11.711,0,lean
A274,25.0,7.285,21.335,14.954,1,flammable
A275,25.0,11.949,19.606,14.339,0,rich
A276,25.0,2.126,43.869,11.314,0,lean
A277,25.0,8.518,36.204,11.581,0,rich
A278,25.0,5.764,47.880,9.712,0,inerted
A279,25.0,4.252,42.259,11.206,0,lean
A280,25.0,5.730,19.181,15.731,1,flammable
A281,25.0,13.666,2.777,17.505,1,flammable
A282,25.0,19.314,42.999,7.896,0,inerted
A283,25.0,7.304,25.082,14.165,1,flammable
A284,25.0,12.449,27.661,12.547,0,rich
A285,25.0,8.020,29.115,13.170,1,flammable
A286,25.0,16.199,13.939,14.636,0,rich
A287,25.0,4.248,4.368,19.145,0,lean
A288,25.0,17.067,3.110,16.723,0,rich
A289,25.0,8.947,15.556,15.817,1,flammable
A290,25.0,10.644,21.448,14.227,1,flammable
A291,25.0,12.400,37.674,10.459,0,rich
A292,25.0,3.131,45.121,10.841,0,lean
A293,25.0,3.973,1.285,19.848,0,lean
A294,25.0,10.339,25.347,13.474,0,rich
A295,25.0,1.414,42.007,11.853,0,lean
A296,25.0,17.237,28.241,11.422,0,rich
A297,25.0,12.447,21.840,13.767,0,rich
A298,25.0,12.641,2.999,17.673,1,flammable
A299,25.0,2.132,33.997,13.381,0,lean
A300,25.0,7.831,10.221,17.168,1,flammable
A301,25.0,11.005,32.088,11.922,0,rich
A302,25.0,3.724,34.775,12.884,0,lean
A303,25.0,5.856,6.907,18.276,1,flammable
A304,25.0,11.212,28.879,12.551,0,rich
A305,25.0,4.934,26.303,14.406,0,lean
A306,25.0,17.957,27.497,11.427,0,rich
A307,25.0,10.206,5.472,17.665,1,flammable
A308,25.0,13.522,3.077,17.472,1,flammable
A309,25.0,15.224,27.780,11.941,0,rich
A310,25.0,10.737,27.456,12.948,0,rich
A311,25.0,18.170,15.038,13.993,0,rich
A312,25.0,9.224,28.427,13.062,0,rich
A313,25.0,17.780,41.930,8.441,0,inerted
A314,25.0,13.334,6.403,16.815,1,flammable
A315,25.0,7.013,46.109,9.821,0,inerted
A316,25.0,7.832,28.033,13.436,1,flammable
A317,25.0,4.898,11.313,17.554,0,lean
A318,25.0,12.306,40.422,9.903,0,rich
A319,25.0,8.110,28.494,13.282,1,flammable
A320,25.0,16.537,7.802,15.851,0,rich
A321,25.0,6.442,42.293,10.740,0,inerted
A322,25.0,18.509,39.679,8.760,0,rich
A323,25.0,2.399,6.392,19.108,0,lean
A324,25.0,12.497,41.864,9.561,0,inerted
A325,25.0,11.694,36.089,10.940,0,rich
A326,25.0,16.683,13.372,14.654,0,rich
A327,25.0,17.146,31.288,10.803,0,rich
A328,25.0,4.899,36.848,12.204,0,lean
A329,25.0,15.465,40.361,9.254,0,rich
A330,25.0,0.856,45.879,11.159,0,lean
A331,25.0,5.601,37.430,11.935,1,flammable
A332,25.0,10.402,21.230,14.323,1,flammable
A333,25.0,10.483,7.908,17.097,1,flammable
A334,25.0,0.103,41.083,12.321,0,lean
A335,25.0,9.912,38.806,10.744,0,rich
A336,25.0,15.391,34.442,10.510,0,rich
A337,25.0,4.887,36.499,12.280,1,flammable
A338,25.0,1.206,28.581,14.709,0,lean
A339,25.0,11.130,43.802,9.442,0,inerted
A340,25.0,9.201,41.109,10.410,0,rich
A341,25.0,6.669,1.041,19.335,1,flammable
A342,25.0,5.227,30.412,13.484,1,flammable
A343,25.0,4.459,35.295,12.622,0,lean
A344,25.0,1.323,34.174,13.513,0,lean
A345,25.0,15.269,24.380,12.643,0,rich
A346,25.0,2.640,16.665,16.905,0,lean
A347,25.0,13.263,3.600,17.417,1,flammable
A348,25.0,6.006,44.525,10.364,0,inerted
A349,25.0,3.221,29.132,14.172,0,lean
A350,25.0,11.998,4.965,17.396,1,flammable
A351,25.0,13.462,33.113,11.193,0,rich
A352,25.0,14.006,15.418,14.786,0,rich
A353,25.0,8.610,22.309,14.472,1,flammable
A354,25.0,3.027,34.414,13.106,0,lean
A355,25.0,1.256,1.578,20.356,0,lean
A356,25.0,14.121,10.947,15.698,0,rich
A357,25.0,8.176,2.031,18.812,1,flammable
A358,25.0,10.918,2.366,18.167,1,flammable
A359,25.0,15.129,2.700,17.215,1,flammable
A360,25.0,18.361,2.376,16.606,0,rich
A361,25.0,13.533,35.889,10.596,0,rich
A362,25.0,17.385,27.194,11.611,0,rich
A363,25.0,0.603,47.997,10.768,0,lean
A364,25.0,6.253,32.406,12.851,1,flammable
A365,25.0,3.990,9.846,18.051,0,lean
A366,25.0,7.836,38.881,11.163,0,rich
A367,25.0,3.553,26.109,14.736,0,lean
A368,25.0,0.828,45.141,11.320,0,lean
A369,25.0,6.724,34.935,12.222,0,rich
A370,25.0,11.992,29.143,12.332,0,rich
A371,25.0,3.933,16.334,16.704,0,lean
A372,25.0,1.712,31.041,14.088,0,lean
A373,25.0,15.924,16.934,14.066,0,rich
A374,25.0,0.781,9.950,18.702,0,lean
A375,25.0,3.983,31.578,13.500,0,lean
A376,25.0,6.914,42.905,10.513,0,inerted
A377,25.0,12.243,40.483,9.904,0,rich
A378,25.0,9.441,33.919,11.866,0,rich
A379,25.0,12.185,0.011,18.395,1,flammable
A380,25.0,15.685,39.418,9.406,0,rich
A381,25.0,4.690,6.179,18.673,0,lean
A382,25.0,11.353,6.175,17.278,1,flammable
A383,25.0,12.725,23.316,13.399,0,rich
A384,25.0,2.218,29.657,14.272,0,lean
A385,25.0,13.363,13.264,15.372,0,rich
A386,25.0,6.064,38.455,11.623,1,flammable
A387,25.0,1.637,19.367,16.550,0,lean
A388,25.0,7.781,0.267,19.264,1,flammable
A389,25.0,2.955,2.075,19.896,0,lean
A390,25.0,1.595,34.270,13.436,0,lean
A391,25.0,11.342,21.782,14.011,0,rich
A392,25.0,17.272,25.886,11.908,0,rich
A393,25.0,2.733,2.552,19.843,0,lean
A394,25.0,16.422,20.821,13.148,0,rich
A395,25.0,2.877,22.948,15.540,0,lean
A396,25.0,14.922,43.250,8.763,0,inerted
A397,25.0,2.053,17.463,16.861,0,lean
A398,25.0,1.618,18.843,16.663,0,lean
A399,25.0,7.358,33.718,12.344,1,flammable
A400,25.0,15.332,44.812,8.350,0,inerted
A401,25.0,13.482,5.389,16.997,1,flammable
A402,25.0,19.335,27.231,11.194,0,rich
A403,25.0,7.869,45.526,9.764,0,inerted
A404,25.0,12.789,18.048,14.490,0,rich
A405,25.0,12.434,29.292,12.209,0,rich
A406,25.0,18.646,24.628,11.884,0,rich
A407,25.0,4.711,21.068,15.549,0,lean
A408,25.0,3.623,6.574,18.814,0,lean
A409,25.0,10.016,26.758,13.246,0,rich
A410,25.0,13.749,29.144,11.964,0,rich
A411,25.0,7.328,38.874,11.271,0,rich
A412,25.0,17.117,6.266,16.051,0,rich
A413,25.0,19.180,35.778,9.436,0,rich
A414,25.0,9.870,25.374,13.567,0,rich
A415,25.0,0.777,4.501,19.844,0,lean
A416,25.0,18.567,33.468,10.049,0,rich
A417,25.0,17.423,40.381,8.840,0,rich
A418,25.0,11.331,21.003,14.176,0,rich
A419,25.0,5.851,40.989,11.137,0,rich
A420,25.0,15.346,8.234,16.010,0,rich
A421,25.0,12.488,46.923,8.503,0,inerted
A422,25.0,3.431,10.290,18.075,0,lean
A423,25.0,14.331,2.689,17.384,1,flammable
A424,25.0,16.932,3.586,16.652,0,rich
A425,25.0,16.936,40.103,9.000,0,rich
A426,25.0,7.332,35.333,12.012,0,rich
A427,25.0,19.240,34.643,9.661,0,rich
A428,25.0,3.588,11.006,17.893,0,lean
A429,25.0,18.050,20.971,12.775,0,rich
A430,25.0,17.552,35.037,9.932,0,rich
A431,25.0,16.763,12.094,14.904,0,rich
A432,25.0,13.846,21.987,13.443,0,rich
A433,25.0,0.613,26.467,15.277,0,lean
A434,25.0,10.413,32.921,11.871,0,rich
A435,25.0,11.854,2.900,17.859,1,flammable
A436,25.0,17.297,33.087,10.394,0,rich
A437,25.0,9.309,0.354,18.926,1,flammable
A438,25.0,8.755,32.345,12.340,0,rich
A439,25.0,10.326,7.423,17.232,1,flammable
A440,25.0,10.383,28.274,12.851,0,rich
A441,25.0,10.996,40.479,10.166,0,rich
A442,25.0,1.728,43.316,11.513,0,lean
A443,25.0,16.289,30.436,11.161,0,rich
A444,25.0,16.096,5.400,16.447,0,rich
A445,25.0,17.546,29.445,11.105,0,rich
A446,25.0,15.644,8.318,15.930,0,rich
A447,25.0,9.505,48.193,8.862,0,inerted
A448,25.0,19.528,22.234,12.201,0,rich
A449,25.0,6.708,32.069,12.826,1,flammable
A450,25.0,1.222,40.678,12.172,0,lean
A451,25.0,19.304,34.118,9.758,0,rich
A452,25.0,6.234,38.014,11.680,0,rich
A453,25.0,5.233,28.163,13.954,1,flammable
A454,25.0,6.128,31.380,13.092,1,flammable
A455,25.0,1.491,27.400,14.897,0,lean
A456,25.0,9.076,11.082,16.727,1,flammable
A457,25.0,14.043,13.873,15.101,0,rich
A458,25.0,9.244,4.215,18.130,1,flammable
A459,25.0,18.852,8.504,15.219,0,rich
A460,25.0,15.669,17.811,13.936,0,rich
A461,25.0,7.573,29.408,13.203,1,flammable
A462,25.0,3.949,4.302,19.222,0,lean
A463,25.0,17.888,18.791,13.266,0,rich
A464,25.0,6.732,43.151,10.500,0,inerted
A465,25.0,10.177,17.823,15.084,1,flammable
A466,25.0,10.914,24.684,13.492,0,rich
A467,25.0,17.167,17.418,13.705,0,rich
A468,25.0,3.034,40.671,11.794,0,lean
A469,25.0,16.359,27.948,11.668,0,rich
A470,25.0,15.092,3.545,17.046,0,rich
A471,25.0,7.004,8.550,17.691,1,flammable
A472,25.0,1.641,3.815,19.807,0,lean
A473,25.0,7.965,44.914,9.872,0,inerted
A474,25.0,0.919,33.380,13.764,0,lean
A475,25.0,5.855,23.964,14.703,1,flammable
A476,25.0,8.108,27.450,13.501,1,flammable
A477,25.0,19.958,33.235,9.806,0,rich
A478,25.0,10.321,2.507,18.262,1,flammable
A479,25.0,14.304,39.754,9.625,0,rich
A480,25.0,16.619,21.304,13.005,0,rich
A481,25.0,18.901,18.593,13.095,0,rich
A482,25.0,14.914,10.006,15.729,0,rich
A483,25.0,4.124,42.431,11.197,0,lean
A484,25.0,17.911,13.898,14.286,0,rich
A485,25.0,4.991,0.169,19.869,1,flammable
A486,25.0,11.746,30.218,12.159,0,rich
A487,25.0,4.745,40.641,11.442,0,lean
A488,25.0,16.578,35.222,10.098,0,rich
A489,25.0,6.842,39.840,11.170,0,rich
A490,25.0,11.427,17.773,14.833,1,flammable
A491,25.0,0.708,2.653,20.246,0,lean
A492,25.0,3.125,8.352,18.546,0,lean
A493,25.0,3.321,21.508,15.748,0,lean
A494,25.0,11.498,20.795,14.184,0,rich
A495,25.0,16.011,17.488,13.932,0,rich
A496,25.0,14.384,44.477,8.619,0,inerted
A497,25.0,10.713,33.566,11.674,0,rich
A498,25.0,9.172,13.113,16.281,1,flammable
A499,25.0,1.853,11.399,18.174,0,lean
A500,25.0,13.131,26.791,12.586,0,rich
A501,25.0,6.268,39.665,11.327,0,rich
A502,25.0,2.404,13.209,17.679,0,lean
A503,25.0,4.802,22.422,15.246,0,lean
A504,25.0,16.069,22.925,12.781,0,rich
A505,25.0,2.032,31.840,13.854,0,lean
A506,25.0,0.723,9.578,18.792,0,lean
A507,25.0,5.527,15.428,16.560,1,flammable
A508,25.0,10.947,40.942,10.079,0,rich
A509,25.0,10.378,39.019,10.601,0,rich
A510,25.0,2.557,24.082,15.369,0,lean
A511,25.0,9.680,45.760,9.335,0,inerted
A512,25.0,9.529,11.536,16.537,1,flammable
A513,25.0,15.666,20.946,13.280,0,rich
A514,25.0,12.983,9.441,16.252,1,flammable
A515,25.0,11.520,43.747,9.372,0,inerted
A516,25.0,7.327,9.374,17.451,1,flammable
A517,25.0,16.843,27.356,11.690,0,rich
A518,25.0,4.765,34.482,12.728,0,lean
A519,25.0,18.836,18.228,13.185,0,rich
A520,25.0,17.636,19.594,13.150,0,rich
A521,25.0,13.896,37.396,10.204,0,rich
A522,25.0,10.704,25.362,13.394,0,rich
A523,25.0,11.052,39.730,10.311,0,rich
A524,25.0,0.384,14.035,17.929,0,lean
A525,25.0,19.144,5.671,15.751,0,rich
A526,25.0,5.221,17.747,16.138,1,flammable
A527,25.0,18.226,30.604,10.720,0,rich
A528,25.0,14.634,7.961,16.216,0,rich
A529,25.0,0.991,38.793,12.615,0,lean
A530,25.0,11.976,38.503,10.375,0,rich
A531,25.0,13.079,33.918,11.104,0,rich
A532,25.0,4.857,19.367,15.875,0,lean
A533,25.0,19.993,40.855,8.202,0,rich
A534,25.0,16.322,8.689,15.710,0,rich
A535,25.0,8.761,38.327,11.085,0,rich
A536,25.0,10.663,45.169,9.253,0,inerted
A537,25.0,2.006,24.139,15.473,0,lean
A538,25.0,10.007,18.821,14.910,1,flammable
A539,25.0,7.013,35.975,11.944,1,flammable
A540,25.0,7.228,17.800,15.707,1,flammable
A541,25.0,15.591,34.357,10.486,0,rich
A542,25.0,11.083,17.473,14.968,1,flammable
A543,25.0,0.905,6.261,19.449,0,lean
A544,25.0,7.986,9.994,17.183,1,flammable
A545,25.0,19.140,8.701,15.117,0,rich
A546,25.0,6.587,26.571,14.003,1,flammable
A547,25.0,16.831,44.699,8.060,0,inerted
A548,25.0,14.912,48.721,7.619,0,inerted
A549,25.0,13.850,43.265,8.984,0,inerted
A550,25.0,13.241,7.918,16.517,1,flammable
A551,25.0,15.719,2.616,17.109,1,flammable
A552,25.0,14.275,22.733,13.197,0,rich
A553,25.0,4.628,21.370,15.503,1,flammable
A554,25.0,9.595,8.672,17.123,1,flammable
A555,25.0,0.462,19.223,16.826,0,lean
A556,25.0,2.051,4.016,19.679,0,lean
A557,25.0,0.716,9.083,18.897,0,lean
A558,25.0,16.032,33.850,10.500,0,rich
A559,25.0,18.462,36.464,9.443,0,rich
A560,25.0,1.929,39.958,12.175,0,lean
A561,25.0,7.670,38.043,11.373,0,rich
A562,25.0,3.657,2.644,19.630,0,lean
A563,25.0,18.502,25.155,11.804,0,rich
A564,25.0,8.985,8.696,17.246,1,flammable
A565,25.0,12.657,8.351,16.549,1,flammable
A566,25.0,10.099,11.509,16.423,1,flammable
A567,25.0,19.272,23.495,11.990,0,rich
A568,25.0,0.181,9.128,19.000,0,lean
A569,25.0,16.246,17.552,13.869,0,rich
A570,25.0,10.194,12.703,16.153,1,flammable
