t_min,CH4,H2O,H2,CO
48,0.65113,0.86931,0.3761,0.50453
49,0.66907,0.87092,0.38506,0.5052
50,0.67394,0.86396,0.40104,0.52115
51,0.64961,0.85417,0.40848,0.5165
52,0.65212,0.87142,0.44227,0.54006
53,0.6604,0.86062,0.42928,0.53904
54,0.6498,0.86574,0.43381,0.54776
55,0.6527,0.86853,0.43128,0.54665
56,0.62334,0.86551,0.44658,0.56243
57,0.63325,0.89021,0.45219,0.56377
58,0.65511,0.8439,0.44974,0.56955
59,0.65578,0.86291,0.44421,0.58111
60,0.65803,0.86471,0.46671,0.59516
61,0.63735,0.87147,0.46113,0.58668
62,0.64071,0.85749,0.4684,0.60507
63,0.64987,0.8633,0.46613,0.6201
64,0.65692,0.86645,0.47433,0.61426
65,0.65264,0.84136,0.4899,0.63088
66,0.62568,0.86569,0.49564,0.62493
67,0.64093,0.85559,0.51035,0.63353
68,0.6303,0.86842,0.49707,0.62009
69,0.64227,0.86487,0.49007,0.63094
70,0.64155,0.85755,0.51382,0.64168
71,0.63538,0.85088,0.52084,0.64656
72,0.63212,0.84625,0.51651,0.64637
73,0.62929,0.84762,0.52286,0.64483
74,0.64211,0.85236,0.54381,0.64344
75,0.64314,0.85225,0.52609,0.68065
76,0.62478,0.85088,0.51758,0.68077
77,0.65487,0.85513,0.5526,0.69231
78,0.63277,0.86971,0.53214,0.69564
79,0.64113,0.85768,0.53446,0.67998
80,0.64758,0.8557,0.54473,0.70345
81,0.64431,0.8481,0.53421,0.68722
82,0.6243,0.85727,0.55053,0.70889
83,0.62974,0.84912,0.56576,0.70109
84,0.63584,0.82644,0.57165,0.71316
85,0.61487,0.85256,0.55823,0.71301
86,0.62013,0.8622,0.57362,0.72523
87,0.62213,0.86404,0.56781,0.71855
88,0.61586,0.85571,0.56662,0.70767
89,0.63111,0.85052,0.58588,0.73263
90,0.6059,0.83927,0.57018,0.73599
91,0.62737,0.85407,0.55966,0.73568
92,0.63666,0.84591,0.57733,0.72876
93,0.62762,0.84236,0.58159,0.73831
94,0.62308,0.85301,0.58523,0.73565
95,0.62038,0.84698,0.57802,0.74273
96,0.62444,0.86002,0.58958,0.75177
97,0.62813,0.86246,0.59062,0.75261
98,0.62334,0.8405,0.61318,0.73862
99,0.62481,0.85051,0.59895,0.75819
100,0.60467,0.83623,0.5983,0.76654
101,0.62869,0.85107,0.59291,0.75642
102,0.62141,0.8476,0.61215,0.76798
103,0.60464,0.86272,0.59858,0.7597
104,0.62273,0.86572,0.61,0.75084
105,0.60975,0.85749,0.62136,0.77551
106,0.62068,0.85001,0.60312,0.76348
107,0.60868,0.84845,0.60699,0.76018
108,0.62644,0.86159,0.59916,0.75008
109,0.62052,0.8526,0.60458,0.78088
110,0.62897,0.85322,0.62037,0.78959
111,0.6337,0.84267,0.61558,0.77389
112,0.62541,0.85973,0.61016,0.77294
113,0.61688,0.85596,0.62366,0.79058
114,0.62094,0.85525,0.63174,0.7829
115,0.61719,0.8613,0.6441,0.78229
116,0.61112,0.85007,0.62948,0.78073
117,0.59813,0.83699,0.63767,0.80064
118,0.60113,0.84822,0.6275,0.79155
119,0.60062,0.85085,0.61985,0.79571
120,0.60798,0.86226,0.63273,0.79291
121,0.59942,0.84821,0.6567,0.82284
122,0.61908,0.83897,0.63019,0.80899
123,0.61524,0.85442,0.63622,0.79632
124,0.59565,0.8629,0.63187,0.79844
125,0.59265,0.85437,0.61406,0.81397
126,0.60847,0.83479,0.6354,0.80867
127,0.61856,0.85571,0.63453,0.80433
128,0.60712,0.85508,0.64345,0.80051
129,0.59666,0.83362,0.6402,0.81752
130,0.59651,0.84881,0.65265,0.82023
131,0.62031,0.85543,0.64255,0.80929
132,0.61122,0.84305,0.64379,0.81305
133,0.61476,0.85455,0.62646,0.79601
134,0.60344,0.85561,0.64738,0.81105
135,0.60821,0.85583,0.6479,0.81565
136,0.62228,0.86234,0.66302,0.82816
137,0.6066,0.82747,0.63976,0.82354
138,0.60897,0.82726,0.65242,0.82602
139,0.59594,0.84512,0.66109,0.82932
140,0.60547,0.84191,0.64839,0.8259
141,0.62421,0.84746,0.64831,0.8165
142,0.60008,0.83346,0.67048,0.81888
143,0.61469,0.86811,0.65013,0.82821
144,0.60552,0.84683,0.64009,0.8333
145,0.61378,0.83793,0.67315,0.8307
146,0.62139,0.85048,0.6628,0.83169
147,0.61067,0.83398,0.65599,0.8407
148,0.60329,0.85181,0.65814,0.83345
149,0.59423,0.84336,0.6603,0.83076
150,0.60685,0.83696,0.65709,0.83206
151,0.61284,0.84435,0.66735,0.81731
152,0.61082,0.84386,0.67269,0.84378
153,0.60728,0.85233,0.66345,0.86759
154,0.60265,0.84406,0.66114,0.84058
155,0.60893,0.84621,0.6681,0.84625
156,0.60816,0.85748,0.66062,0.83351
157,0.61121,0.84369,0.66696,0.82996
158,0.59795,0.84182,0.65344,0.83883
159,0.6086,0.84587,0.67126,0.84639
160,0.62389,0.86056,0.67555,0.84671
161,0.59884,0.86305,0.68117,0.83727
162,0.62183,0.84374,0.68408,0.8456
163,0.60552,0.85029,0.67643,0.85017
164,0.59133,0.85758,0.68538,0.84087
165,0.61932,0.8403,0.67872,0.84299
166,0.61757,0.85012,0.67725,0.84565
167,0.59909,0.83892,0.67075,0.84052
168,0.60201,0.8431,0.67343,0.85069
169,0.61604,0.83234,0.66622,0.84679
170,0.60316,0.84259,0.66076,0.86031
171,0.60686,0.84035,0.67602,0.847
172,0.59501,0.84294,0.6859,0.85926
173,0.60507,0.84998,0.67147,0.85391
174,0.61506,0.83905,0.69116,0.85775
175,0.61586,0.83164,0.675,0.85013
176,0.60386,0.82576,0.67459,0.85079
177,0.60415,0.83592,0.68972,0.84548
178,0.60363,0.85857,0.67947,0.86237
179,0.6033,0.8598,0.6846,0.84952
